secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
101375,20190627,152,-85,0.180741,140.1878,17.27863,0.014413,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-80,0.181858,137.4566,14.97149,0.008858,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-75,0.184678,135.145,13.16859,0.006164,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-70,0.188187,133.0309,11.64814,0.005556,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-65,0.19176,131.0214,10.30763,0.005571,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-60,0.195586,129.0642,9.110427,0.005774,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-55,0.199568,127.117,8.020612,0.005807,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-50,0.203428,125.1479,7.009124,0.006304,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-45,0.208001,123.1285,6.08996,0.007435,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-40,0.213494,121.0082,5.248271,0.008201,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-35,0.219414,118.7374,4.455284,0.009597,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-30,0.226885,116.2275,3.722839,0.012858,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-25,0.237671,113.3051,3.057296,0.019457,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-20,0.25415,109.6572,2.451632,0.029994,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-15,0.276129,104.9302,1.858958,0.04097,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-10,0.299178,98.83926,1.228829,0.049917,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,10,0.184729,145.7381,0.666936,0.002692,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,15,0.186448,141.7181,1.100037,0.00349,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,20,0.188852,138.6343,1.595056,0.004032,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,25,0.191678,136.0304,2.155007,0.004363,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,30,0.194736,133.6904,2.783914,0.004569,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,35,0.197835,131.5005,3.485972,0.00478,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,40,0.2012,129.4029,4.272779,0.005213,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,45,0.20497,127.3439,5.159205,0.00556,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,50,0.208826,125.2768,6.152607,0.006106,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,55,0.213299,123.1659,7.286631,0.007203,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,60,0.218707,120.959,8.59996,0.008094,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,65,0.224747,118.6014,10.12334,0.009864,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,70,0.232735,115.9901,11.96949,0.014168,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,75,0.244836,112.9213,14.34648,0.021785,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,80,0.262845,109.0863,17.54407,0.031706,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,85,0.28503,104.205,21.77863,0.040664,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,90,0.306815,98.02815,27.26558,0.047838,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-90,0.175952,144.5902,21.34864,0.011411,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-85,0.178317,141.4698,18.58704,0.008189,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-80,0.181357,138.7407,16.31889,0.006243,P,02581610,AXP,6199,0,1,,0,424
